SMILES,VINA,CNSMPO
CN1C(=O)C(=C(C1=O)C2=CNC3=CC=CC=C32)C4=CNC5=CC=CC=C54,-8.4,4.878527311
CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCN,-8.4,4.225242857142857
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)N4CCOCC4,-7.6,5.0463511346428565
COC1=CC=CC=C1N2CCN(CC2)CCN3C(=O)CC4(CCCC4)CC3=O,-8.4,5.740841286499999
CC(C)N1C=NC2=C(N=C(N=C21)NCCCO)NCC3=CC=CC=C3,-6.3,5.161387195166667
CN1C=NC2=C1C=C3C(=C2)C(=NC=N3)NC4=CC(=CC=C4)Br,-7.7,4.5964841923333335
C1=CC(=CC(=C1)Br)NC2=NC=NC3=CC4=C(C=C32)NC=N4,-7.7,4.4868908705
C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,-6.0,5.3418239194999995
CN1CCC(CC1)C2=CNC3=C2C=C(C=C3)O,-6.6,5.0008865345
C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,-7.2,5.5608868938333345
CC1=C(SN=N1)C(=O)NC2=CC=C(C=C2)N3C(=CC(=N3)C(F)(F)F)C(F)(F)F,-8.0,3.862810958333333
CCCCN=C(N)N=C(N)N,-4.3,3.633333333333333
CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,-6.1,4.135095238095238
CS(=O)(=O)OCCCCOS(=O)(=O)C,-4.1,5.0
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-5.0,6.0
C(C(CO)OP(=O)(O)O)O,-3.9,4.237333333333334
CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,-6.7,3.626615616928572
C[N+](C)(C)CCOC(=O)N,-3.6,4.833333333333333
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,-7.7,5.450318139833334
CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2,-6.1,4.807797109999999
CC1(C([N+](=C(N1O)C2=CC=C(C=C2)C(=O)O)[O-])(C)C)C,-7.1,5.5
CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,-6.0,5.5
C(CCl)NC(=O)N(CCCl)N=O,-4.1,5.833333333333332
CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,-7.7,4.175969589190476
C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,-8.9,6.0
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,-5.7,1.7384854005
C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,-6.3,4.543666666666667
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,-6.0,3.2641909715
C1=CC2=C(C=C1Cl)NC(=O)O2,-5.2,5.749833333333332
C1=C2C(=CC(=C1Cl)O)OC(=O)N2,-5.3,5.5
CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N,-7.2,5.166666666666667
CC1=CC(=O)N(C(=C1)C2CCCCC2)O,-6.5,5.833333333333332
CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3,-7.1,5.391929163333333
C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,-7.6,4.960131457547619
CC1=C(N=CN1)CSCCNC(=NC)NC#N,-4.7,5.166666666666667
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,-7.1,5.1173553275
CC#CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br,-7.5,3.4945085257857142
C1COCCN1CCCCNC(=O)C2=CC3=CC=CC=C3O2,-6.7,5.833333333333332
C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl,-6.6,3.536408358
C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl,-5.7,5.051740252
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,-5.1,4.874665326000001
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,-6.8,2.9165777385
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,-5.5,5.3194914625
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,-7.1,3.0
CC(C)N1C=NC2=C(N=C(N=C21)NCCO)NC3=CC(=CC=C3)Cl,-6.4,4.766531364166667
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OCC,-6.6,3.818204552690476
C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,-7.7,3.392595238095238
CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,-7.2,3.1727658265000005
C1CN(C(=N1)N)CC(=O)O,-4.4,4.5
CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C,-7.4,4.039456186928572
CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,-8.3,3.4607803515000004
C(CSSCCN)N,-3.0,4.545535429
C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C(=N)N)C(=N)N,-8.0,3.033
C1CC2=CC(=CC3=C2N(C1)CCC3)C=C(C#N)C#N,-6.7,5.250785898
CCCCCCCCCC(=O)O,-4.5,4.538747939333333
CCCCCCCCCCC1=C(C(=O)C(=C(C1=O)OC)OC)C,-6.1,4.0
CC1=C(C(=O)C=CN1C)O,-4.5,5.833333333333332
CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,-5.1,2.0
CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=CC=C4)C5=CC=C(C=C5)F)CC3,-9.0,3.1302751287142856
CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,-6.1,5.833333333333332
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,-6.4,4.870495383500001
C1=CC(=C(C=C1C(=O)NO)O)O,-5.0,5.0
C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,-6.5,3.6438775098333336
C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,-6.8,5.0450536815
C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43,-7.5,2.4477180855
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,-5.8,4.1533792935000005
C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,-6.0,3.0
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O,-6.5,5.833333333333332
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.2,2.420120539
CCCC(CCC)C(=O)O,-4.3,4.833333333333333
COC1=C(C(=O)C2=CC=CC=C2C1=O)OC,-5.8,6.0
COC1=CC2=C(C=C(C=N2)C3=CC=NC=C3)C(=C1)OC,-6.8,5.878725621
C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,-8.5,4.656008393642857
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,-8.0,5.224291759761905
CCN(CCCl)CC1=CC=CC=C1Br,-4.9,3.825397413
CS(=O)(=O)C1=CC=C(C=C1)C2=C(SC(=C2)Br)C3=CC=C(C=C3)F,-6.6,2.3592696010714285
CC1=NC(=CC=C1)CCN2CCC(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C,-7.3,5.5366904761904765
CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,-7.8,2.5363892784999997
CC[N+](C)(C)C1=CC(=CC=C1)O,-4.6,4.844833333333333
CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C,-8.4,3.878827382833333
CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,-6.1,4.282704215
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,-7.7,3.784095665333333
CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,-6.9,5.054287728
