SMILES,norm_t_half
NC1(CNC(=O)Nc2ccn3ccnc3c2)C2CC3CC(C2)CC1C3,1.065989848
CN1[C@H]([C@H](CNC2Cc3ccccc3C2)CC1=O)c1ccncc1,1.064516129
O=C(NC12CC3CC(CC(C3)C1)C2)C1CN(C2CCCC2)C(=O)C1,1.064516129
Cc1cc(O)n2nc(nc2n1)C12CC3CC(CC(C3)C1)C2,1.060913706
CCc1c(C)c2cc(Cl)c(OCc3nnn[nH]3)cc2oc1=O,1.059322034
O=C1NN(C(=O)\C1=C\c1ccc(\C=C2/C(=O)NN(C2=O)c2ccccc2)cc1)c1ccccc1,1.058201058
Clc1cccc(c1)N1NC(=O)\C(=C/c2ccc(Br)cc2)C1=O,1.057291667
Fc1ccccc1C(=O)Oc1ccc(\C=C2/C(=O)NN(C2=O)c2ccccc2)cc1,1.052910053
COC(=O)C(Cc1ccccc1)c1cc(=O)oc2c(C)c(OC)ccc12,1.052083333
OC1=NN(C(=O)\C1=C\c1ccc(Oc2nc(Cl)ncc2F)cc1)c1ccccc1,1.052083333
Cn1c2ncc(cc2c(=O)n(C)c1=O)C(=O)c1cc(Cl)ccc1O,1.050761421
OC12CCCCC1CN(CC2)C(=O)C1(CCCCC1)n1cnnn1,1.045685279
Cl.NC(CNS(=O)(=O)c1cccc2ncccc12)c1ccccc1,1.045685279
Cc1cc(=O)n(CCN2CCOC(C2)c2ccccc2)c(=O)[nH]1,1.040609137
OC1=NN(c2ccccc2)C(/C1=C/c(coc3c4cc(OC)cc3)c4=O)=O,1.038297546
NC(=O)CN1CCc2[nH]nc(c2C1)-c1ccc(cc1)-c1ccccc1,1.037634409
Fc1ccc(C(=O)Nc2ccc3OCCOc3c2)c(c1)-n1cnnn1,1.035532995
Fc1ccc(OCc2nnn[nH]2)c(Cl)c1,1.033898305
O=C(NCCn1cnc2ccccc12)C(c1ccccc1)n1cnnn1,1.032258065
O=C(N1CCN(CC1)C(=O)c1scc2CCCCc12)c1nc[nH]n1,1.030456853
Cc1ccc(C)c(c1)-n1ccc2c(nnc3ncnn23)c1=O,1.030456853
CC(C)(O)c1cncc(c1)-c1cccc(c1)C(=O)N1CCOCC1,1.02688172
O=C(Cc1n[nH]c2ccccc12)N1CCC2(CCO2)CC1,1.021505376
COc1ccc(OC)c(\C=C2/C(=O)NN(C2=O)c2ccccc2)c1,1.021186441
Cc1cccc2c(CCNC(=O)C3CCCN3C(=O)C3CC3)c[nH]c12,1.021164021
Cl.Cc1cccc2C(NCCc12)C(O)=O,1.021164021
CCOC(=O)c1ccc(cc1)N1NC(=O)\C(=C/c2ccc(OC)cc2)C1=O,1.021164021
Brc1ccc(CN2C(=O)S\C(=C\c3coc4ccccc4c3=O)C2=O)cc1,1.020833333
CN(C1CCCc2ccccc12)C(=O)c1ccn2cnnc2c1,1.020304569
CC(=O)N1CCN([C@H]2CS(=O)(=O)C[C@@H]12)C(=O)c1cc(C)c[nH]1,1.020304569
Cc1cccc2c(c[nH]c12)-c1ccc(cn1)C(N)=O,1.019607843
CCc1cc(=O)oc2c(C)c(OCc3nnn[nH]3)ccc12,1.015686275
Cl.Cc1cccc2c3CCNCc3[nH]c12,1.011764706
NCC1Cc2c(O1)ccc1cc(ccc21)-c1ccc[nH]c1=O,1.010752688
CCN1C(=O)NC2(CCN(CC2)C(=O)c2ccccc2F)C1=O,1.010152284
COc1cccc(CC(=O)NC2CCN(C2=O)c2ccccc2)c1,1.010152284
CCc1nccn1CC(=O)N1CC[C@@H]2OCc3cnnn3[C@H]2C1,1.010152284
CCCCc1cc(=O)oc2c(C)c(OCc3nnn[nH]3)ccc12,1.008474576
Cc1cccc2c(c[nH]c12)-c1ccc(cn1)C(N)=O,1.007843137
CC1CN(C(=O)CN1C(=O)c1cnc[nH]c1=O)c1ccc(C)cc1,1.005376344
CC(C)c1ccc(cc1)C(=O)NN1C(=O)C2C3CCC(O3)C2C1=O,1.005376344
COC(=O)c1ccc(cc1)N1NC(=O)\C(=C\c2cccn2-c2ccc(cc2)S(N)(=O)=O)C1=O,1.005291005
O=C(NS(=O)(=O)c1cccnc1)C1CC11CCCc2ccccc12,1.005076142
Fc1ccccc1\C=c1/sc2nnc(-c3ccccc3)n2c1=O,1.005076142
Cc1nc2CC(CCc2[nH]1)C(=O)N1CCOC2(CCCCC2)C1,1.0
Cc1noc2ncnc(N3CCCC(C3)c3nnc4ccccn34)c12,1.0
O=C1CCCC2=C1C(c1ccccc1)n1nnnc1N2,1.0
CN1CCC2(CC1)CN(CCN2C)C(=O)Cc1c(C)[nH]c(=O)[nH]c1=O,1.0
Oc(cc1)cc2c1occ(/C=C3C(NN(c4ccccc4)C/3=O)=O)c2=O,1.0
CC1CC1C(=O)NCCC(=O)N(C)C1C2CC3CC(C2)CC1C3,1.0
CC1=NN(c2ccccc2)C(/C1=C/c(coc3c4cccc3)c4=O)=O,0.999974468
O=C(C1CCc2ccccc2O1)N1CCN(CC1)c1ncc[nH]c1=O,0.994923858
Cc1ccc(NC(=O)N2CCN(Cc3cccnc3)CC2)cc1F,0.994623656
OC1(CCN(C1)c1ncnc2CCNCCc12)c1ccccc1,0.994623656
O=c1[nH]c2ccc(cc2o1)S(=O)(=O)N1CCC2(C1)CCCNC2,0.994623656
O=C(CN1C(=O)c2cccc3cccc1c23)NCc1ccccn1,0.989847716
CC1COCCN1C(=O)c1[nH]c2CC(C)(C)CC(=O)c2c1C,0.984771574
C1CC(CN(C1)c1ncnc2nc[nH]c12)c1nnc2CCCCCn12,0.984771574
CC1CC(N2C(=O)NC3(CCc4ccccc34)C2=O)C(=O)O1,0.983870968
O=C(Cn1cnc2n(ncc2c1=O)-c1ccccc1)c1ccc[nH]1,0.983870968
Cc1ccccc1N1C(C=O)C(N2C(=O)c3ccccc3C2=O)C1=O,0.983870968
Cc1cccc2c(c[nH]c12)-c1nc(cs1)C(N)=O,0.980392157
CCc1ccc(cc1)N1N=C(O)\C(=C\c2ccc(OC)cc2)C1=O,0.979166667
Cc1ccccc1COc1ccc(\C=C2/C(=O)NN(C2=O)c2ccccc2)cc1,0.978835979
CN(Cc1ccc2ccccc2n1)C(=O)c1cnc(C)[nH]c1=O,0.978494624
Oc1nc2ccccc2cc1CNC1CCCCNC1=O,0.978494624
O=C1CCC2(CCOC2)CN1CCCn1nnc2ccccc12,0.978494624
CC1CC(=O)c2cnc3nc([nH]c(=O)c3c2C1)N1CCCCC1,0.974619289
COc(cc1)cc2c1occ(/C=C3C(NN(c4ccccc4)C/3=O)=O)c2=O,0.974468302
Cc1ncc2CNCCc2c1-c1noc(n1)-c1ccc2[nH]c(=O)[nH]c2c1,0.969543147
C(Oc1cccc2ccccc12)c1nnn[nH]1,0.968627451
Cc1cccc2c(c[nH]c12)-c1ncccc1C(N)=O,0.964705882
CN1C(=O)c2ccc(NC(=O)C3CCC=CC3)cc2C1=O,0.956989247
COc1ccc2[nH]c3c(CCNC33CCN(C)CC3)c2c1,0.956989247
Cc1nnnn1-c1ccc(F)c(NC(=O)Cn2ccc(C)cc2=O)c1,0.951612903
Cc1ccc(cc1S(C)(=O)=O)C(=O)Nc1nnc2ccccn12,0.946236559
O=C(Nc1onc2CCCc12)c1cc2ccccc2oc1=O,0.944162437
CCOC(=O)c1ccc(cc1)N1NC(=O)\C(=C/C=C/c2ccccc2)C1=O,0.941798942
COc1ccc2c3ccc(OCC(N)=O)c(C)c3oc(=O)c2c1,0.933333333
O=S1C(C)CN(C(CSc2ccc(C)cc2)=O)c3ccccc13,0.908051724
COc1ccc2c3ccc(OCC(N)=O)c(C)c3oc(=O)c2c1,0.905882353
[O-][N+](=O)c1ccc(cc1)-n1cccc1\C=C1\C(=O)NN(C1=O)c1ccc(Br)cc1,0.888888889
[O-][N+](=O)c1ccc(cc1)-n1cccc1\C=C1\C(=O)NN(C1=O)c1cc(Cl)cc(Cl)c1,0.885416667
CC1CCC(NC(Cn(c(=O)[nH]c2c3cccc2)c3=O)=O)CC1,0.88362931
Fc1c(NC(Nn(cnc2c3cccc2)c3=O)=O)cccc1,0.879310345
Cc1c2oc(=O)cc(C)c2ccc1OCc3nnn[nH]3,0.873524273
Cc1ccc(cc1)N1NC(=O)\C(=C\c2cccn2-c2ccc(cc2)[N+]([O-])=O)C1=O,0.846560847
FC(F)(c1c(NC(Nn(cnc2c3cccc2)c3=O)=O)cccc1)F,0.844827586
[O-][N+](=O)c1ccc(cc1)-c1ccc(\C=C2/C(=O)NN(C2=O)c2ccc(Cl)cc2)o1,0.825396825
O=c1[nH]c(CCCC2=O)c2cc1C(NCc3ccccc3)=O,0.798844828
Cl.Cl.Cc1noc(C)c1-c1nc2C(NCCc2[nH]1)C(O)=O,0.784313725
Clc1c(Cl)cc(NC(Nn(c(=O)[nH]c2c3cccc2)c3=O)=O)cc1,0.659482759
Cc1c(OCC#N)ccc2c1oc(=O)c1ccccc12,0.647043253
